speaker,utt_id,attack_id,label,y,path,split
LA_0097,LA_T_6905521,A03,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_6905521.flac,train
LA_0081,LA_T_4513430,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_4513430.flac,train
LA_0080,LA_T_7487391,A04,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_7487391.flac,train
LA_0091,LA_T_7239632,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_7239632.flac,train
LA_0098,LA_T_7700480,A06,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_7700480.flac,train
LA_0079,LA_T_5690124,A02,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_5690124.flac,train
LA_0098,LA_T_9387015,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_9387015.flac,train
LA_0087,LA_T_4004910,A03,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_4004910.flac,train
LA_0094,LA_T_5114581,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_5114581.flac,train
LA_0084,LA_T_8019476,A04,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_8019476.flac,train
LA_0087,LA_T_7514330,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_7514330.flac,train
LA_0084,LA_T_3869252,A04,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_3869252.flac,train
LA_0096,LA_T_5063114,A04,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_5063114.flac,train
LA_0085,LA_T_6290647,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_6290647.flac,train
LA_0084,LA_T_4848180,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_4848180.flac,train
LA_0085,LA_T_7478780,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_7478780.flac,train
LA_0096,LA_T_6115632,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_6115632.flac,train
LA_0094,LA_T_7467165,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_7467165.flac,train
LA_0098,LA_T_4322814,A03,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_4322814.flac,train
LA_0085,LA_T_4008513,A01,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_4008513.flac,train
LA_0094,LA_T_2363469,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_2363469.flac,train
LA_0085,LA_T_1067825,A06,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_1067825.flac,train
LA_0081,LA_T_3626827,A04,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_3626827.flac,train
LA_0084,LA_T_8006262,A01,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_8006262.flac,train
LA_0095,LA_T_4681207,A02,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_4681207.flac,train
LA_0087,LA_T_8898922,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_8898922.flac,train
LA_0089,LA_T_6894018,A05,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_6894018.flac,train
LA_0090,LA_T_1332868,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_1332868.flac,train
LA_0083,LA_T_8987811,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_8987811.flac,train
LA_0086,LA_T_1611587,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_1611587.flac,train
LA_0089,LA_T_2272655,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_2272655.flac,train
LA_0083,LA_T_1864383,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_1864383.flac,train
LA_0098,LA_T_9195565,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_9195565.flac,train
LA_0081,LA_T_2866777,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_2866777.flac,train
LA_0088,LA_T_5546040,A05,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_5546040.flac,train
LA_0082,LA_T_8705208,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_8705208.flac,train
LA_0080,LA_T_1884056,A01,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_1884056.flac,train
LA_0081,LA_T_6080941,A06,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_6080941.flac,train
LA_0095,LA_T_9299078,A04,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_9299078.flac,train
LA_0090,LA_T_1478655,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_1478655.flac,train
LA_0080,LA_T_6631167,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_6631167.flac,train
LA_0097,LA_T_5289845,A03,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_5289845.flac,train
LA_0089,LA_T_6017121,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_6017121.flac,train
LA_0095,LA_T_5765787,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_5765787.flac,train
LA_0087,LA_T_3628174,A03,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_3628174.flac,train
LA_0087,LA_T_5049541,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_5049541.flac,train
LA_0086,LA_T_7988057,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_7988057.flac,train
LA_0079,LA_T_6058143,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_6058143.flac,train
LA_0091,LA_T_2147294,-,bonafide,1,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_2147294.flac,train
LA_0098,LA_T_7633971,A02,spoof,0,/Users/seecsy/action_learning/data/LA/ASVspoof2019_LA_train/flac/LA_T_7633971.flac,train
